nom_latin,nom_anglais
"Chloroceryle amazona","Amazon Kingfisher"
"Thamnophilus amazonicus","Amazonian Antshrike"
"Dendrocolaptes certhia","Amazonian Barred Woodcreeper"
"Cyanoloxia rothschildii","Amazonian Grosbeak"
"Momotus momota","Amazonian Motmot"
"Glaucidium hardyi","Amazonian Pygmy Owl"
"Onychorhynchus coronatus","Amazonian Royal Flycatcher"
"Tyto furcata","American Barn Owl"
"Chloroceryle aenea","American Pygmy Kingfisher"
"Setophaga ruticilla","American Redstart"
"Anhinga anhinga","Anhinga"
"Picumnus minutissimus","Arrowhead Piculet"
"Mustelirallus albicollis","Ash-throated Crake"
"Euchrepomis spodioptila","Ash-winged Antwren"
"Hylophilus pectoralis","Ashy-headed Greenlet"
"Porphyrio flavirostris","Azure Gallinule"
"Coereba flaveola","Bananaquit"
"Chaetura spinicaudus","Band-rumped Swift"
"Thamnophilus melanothorax","Band-tailed Antshrike"
"Nyctiprogne leucopyga","Band-tailed Nighthawk"
"Thamnophilus doliatus","Barred Antshrike"
"Micrastur ruficollis","Barred Forest Falcon"
"Falco rufigularis","Bat Falcon"
"Polystictus pectoralis","Bearded Tachuri"
"Conirostrum bicolor","Bicolored Conebill"
"Crax alector","Black Curassow"
"Spizaetus tyrannus","Black Hawk-Eagle"
"Monasa atra","Black Nunbird"
"Laterallus jamaicensis","Black Rail"
"Rynchops niger","Black Skimmer"
"Coragyps atratus","Black Vulture"
"Spizaetus melanoleucus","Black-and-white Hawk-Eagle"
"Strix huhula","Black-banded Owl"
"Dendrocolaptes picumnus","Black-banded Woodcreeper"
"Piaya melanogaster","Black-bellied Cuckoo"
"Dendrocygna autumnalis","Black-bellied Whistling Duck"
"Pachyramphus marginatus","Black-capped Becard"
"Donacobius atricapilla","Black-capped Donacobius"
"Hypocnemoides melanopogon","Black-chinned Antbird"
"Busarellus nigricollis","Black-collared Hawk"
"Sakesphorus canadensis","Black-crested Antshrike"
"Tityra inquisitor","Black-crowned Tityra"
"Formicarius analis","Black-faced Antthrush"
"Leucopternis melanops","Black-faced Hawk"
"Schistochlamys melanopis","Black-faced Tanager"
"Percnostola rufifrons","Black-headed Antbird"
"Pionites melanocephalus","Black-headed Parrot"
"Pteroglossus aracari","Black-necked Aracari"
"Himantopus mexicanus","Black-necked Stilt"
"Capito niger","Black-spotted Barbet"
"Sclerurus caudacutus","Black-tailed Leaftosser"
"Tityra cayana","Black-tailed Tityra"
"Trogon melanurus","Black-tailed Trogon"
"Myrmophylax atrothorax","Black-throated Antbird"
"Frederickena viridis","Black-throated Antshrike"
"Anthracothorax nigricollis","Black-throated Mango"
"Trogon rufus","Black-throated Trogon"
"Vireo altiloquus","Black-whiskered Vireo"
"Cercomacroides nigrescens","Blackish Antbird"
"Nyctipolus nigrescens","Blackish Nightjar"
"Thamnophilus nigrocinereus","Blackish-grey Antshrike"
"Dacnis cayana","Blue Dacnis"
"Ara ararauna","Blue-and-yellow Macaw"
"Chiroxiphia pareola","Blue-backed Manakin"
"Cyanicterus cyanicterus","Blue-backed Tanager"
"Volatinia jacarina","Blue-black Grassquit"
"Amazona dufresniana","Blue-cheeked Amazon"
"Chlorestes notata","Blue-chinned Sapphire"
"Thraupis episcopus","Blue-grey Tanager"
"Pionus menstruus","Blue-headed Parrot"
"Chlorostilbon mellisugus","Blue-tailed Emerald"
"Megarynchus pitangua","Boat-billed Flycatcher"
"Hemitriccus josephinae","Boat-billed Tody-Tyrant"
"Myiophobus fasciatus","Bran-colored Flycatcher"
"Attila spadiceus","Bright-rumped Attila"
