nom_latin,nom_anglais
"Streptopelia roseogrisea","African Collared Dove"
"Acrocephalus baeticatus","African Reed Warbler"
"Pluvialis dominica","American Golden Plover"
"Setophaga aestiva","American Yellow Warbler"
"Acrocephalus paludicola","Aquatic Warbler"
"Acanthis hornemanni","Arctic Redpoll"
"Phylloscopus borealis","Arctic Warbler"
"Sinosuthora alphonsiana","Ashy-throated Parrotbill"
"Serinus canaria","Atlantic Canary"
"Oenanthe seebohmi","Atlas Wheatear"
"Zapornia pusilla","Baillon's Crake"
"Calidris bairdii","Baird's Sandpiper"
"Puffinus mauretanicus","Balearic Shearwater"
"Anser indicus","Bar-headed Goose"
"Curruca nisoria","Barred Warbler"
"Setophaga castanea","Bay-breasted Warbler"
"Megaceryle alcyon","Belted Kingfisher"
"Oenanthe leucura","Black Wheatear"
"Mniotilta varia","Black-and-white Warbler"
"Pterocles orientalis","Black-bellied Sandgrouse"
"Dendrocygna autumnalis","Black-bellied Whistling Duck"
"Emberiza spodocephala","Black-faced Bunting"
"Glareola nordmanni","Black-winged Pratincole"
"Anthus godlewskii","Blyth's Pipit"
"Iduna caligata","Booted Warbler"
"Onychoprion anaethetus","Bridled Tern"
"Calidris falcinellus","Broad-billed Sandpiper"
"Melopsittacus undulatus","Budgerigar"
"Anthus rubescens","Buff-bellied Pipit"
"Calidris subruficollis","Buff-breasted Sandpiper"
"Cyanoliseus patagonus","Burrowing Parrot"
"Branta hutchinsii","Cackling Goose"
"Motacilla citreola","Citrine Wagtail"
"Nymphicus hollandicus","Cockatiel"
"Acanthis flammea","Common Redpoll"
"Curruca communis","Common Whitethroat"
"Geothlypis trichas","Common Yellowthroat"
"Calonectris borealis","Cory's Shearwater"
"Curruca undata","Dartford Warbler"
"Grus virgo","Demoiselle Crane"
"Oenanthe deserti","Desert Wheatear"
"Curruca minula","Desert Whitethroat"
"Chersophilus duponti","Dupont's Lark"
"Phylloscopus fuscatus","Dusky Warbler"
"Phylloscopus orientalis","Eastern Bonelli's Warbler"
"Curruca cantillans","Eastern Subalpine Warbler"
