id,nom_latin,nom_commun_actuel,wikipedia_trouve,titre_wikipedia,nom_commun_correct
668,Psophia crepitans,Agami trompette,oui,Agami trompette,
501,Spizaetus melanoleucus,Aigle noir et blanc,oui,Aigle noir et blanc,
740,Spizaetus ornatus,Aigle orné,oui,Aigle orné,
496,Spizaetus tyrannus,Aigle tyran,oui,Aigle tyran,
703,Egretta caerulea,Aigrette bleue,oui,Aigrette bleue,
888,Egretta tricolor,Aigrette tricolore,oui,Aigrette tricolore,
615,Myrmoderus ferrugineus,Alapi à cravate noire,oui,Alapi à cravate noire,
508,Hypocnemoides melanopogon,Alapi à menton noir,oui,Alapi à menton noir,
913,Myrmoborus leucophrys,Alapi à sourcils blancs,oui,Alapi à sourcils blancs,
515,Percnostola rufifrons,Alapi à tête noire,oui,Alapi à tête noire,
679,Hypocnemis cantator,Alapi carillonneur,oui,Alapi carillonneur,
523,Myrmophylax atrothorax,Alapi de Buffon,oui,Alapi de Buffon,
836,Sclateria naevia,Alapi paludicole,oui,Alapi paludicole,
861,Myrmelastes leucostigma,Alapi ponctué,oui,Alapi ponctué,
739,Amazona amazonica,Amazone à ailes orange,oui,Amazone aourou,
536,Amazona dufresniana,Amazone à joues bleues,oui,Amazone à joues bleues,
851,Amazona farinosa,Amazone poudrée,oui,Amazone poudrée,
568,Automolus rufipileatus,Anabate à couronne rousse,oui,Anabate à couronne rousse,
809,Philydor erythrocercum,Anabate à croupion roux,oui,Anabate à croupion roux,
553,Automolus ochrolaemus,Anabate à gorge fauve,oui,Anabate à gorge fauve,
580,Philydor pyrrhodes,Anabate flamboyant,oui,Anabate flamboyant,
736,Automolus infuscatus,Anabate olivâtre,oui,Anabate olivâtre,
793,Clibanornis rubiginosus,Anabate rubigineux,oui,Anabate rubigineux,
480,Anhinga anhinga,Anhinga,oui,Anhingidae,
844,Crotophaga ani,Ani à bec lisse,oui,Ani à bec lisse,
643,Crotophaga major,Ani des palétuviers,oui,Ani des palétuviers,
674,Schiffornis olivacea,Antriade olivâtre,oui,Antriade olivâtre,
532,Ara ararauna,Ara bleu et jaune,oui,Ara bleu,
772,Ara chloropterus,Ara chloroptère,oui,Ara chloroptère,
773,Orthopsittaca manilatus,Ara macavouanne,oui,Ara macavouanne,
781,Diopsittaca nobilis,Ara noble,oui,Ara noble,
822,Ara macao,Ara rouge,oui,Ara rouge,
569,Ara severus,Ara vert,oui,Ara vert,
517,Pteroglossus aracari,Araçari grigri,oui,Araçari grigri,
645,Pteroglossus viridis,Araçari vert,oui,Araçari vert,
906,Procnias albus,Araponga blanc,oui,Araponga blanc,
914,Chrysuronia brevirostris,Ariane à poitrine blanche,oui,Ariane à poitrine blanche,
625,Chionomesa fimbriata,Ariane de Linné,oui,Ariane de Linné,
760,Chrysuronia leucogaster,Ariane vert-doré,oui,Ariane vert-doré,
544,Attila spadiceus,Attila à croupion jaune,oui,Attila à croupion jaune,
577,Attila cinnamomeus,Attila cannelle,oui,Attila cannelle,
575,Laniocera hypopyrra,Aulia cendré,oui,Aulia cendré,
669,Rhytipterna simplex,Aulia grisâtre,oui,Aulia grisâtre,
880,Chelidoptera tenebrosa,Barbacou à croupion blanc,oui,Barbacou à croupion blanc,
497,Monasa atra,Barbacou noir,oui,Barbacou noir,
817,Nonnula rubecula,Barbacou rufalbin,oui,Barbacou rufalbin,
524,Frederickena viridis,Batara à gorge noire,oui,Batara à gorge noire,
610,Thamnomanes ardesiacus,Batara ardoisé,oui,Batara ardoisé,
573,Thamnomanes caesius,Batara cendré,oui,Batara cendré,
471,Thamnophilus amazonicus,Batara d'Amazonie,oui,Batara d'Amazonie,
488,Thamnophilus melanothorax,Batara de Cayenne,oui,Batara de Cayenne,
530,Thamnophilus nigrocinereus,Batara demi-deuil,oui,Batara demi-deuil,
614,Cymbilaimus lineatus,Batara fascié,oui,Batara fascié,
510,Sakesphorus canadensis,Batara huppé,oui,Batara huppé,
490,Thamnophilus doliatus,Batara rayé,oui,Batara rayé,
724,Thamnophilus murinus,Batara souris,oui,Batara souris,
729,Thamnophilus punctatus,Batara tacheté,oui,Batara tacheté,
499,Rynchops niger,Bec-en-ciseaux noir,oui,Bec-en-ciseaux noir,
666,Leptodon cayanensis,Bec-en-croc de Cayenne,oui,Bec-en-croc de Cayenne,
686,Chondrohierax uncinatus,Bec-en-croc de Temminck,oui,Bec-en-croc de Temminck,
937,Pachyramphus polychopterus,Bécarde à ailes blanches,oui,Bécarde à ailes blanches,
506,Pachyramphus marginatus,Bécarde à calotte noire,oui,Bécarde à calotte noire,
574,Pachyramphus rufus,Bécarde cendrée,oui,Bécarde cendrée,
757,Pachyramphus minor,Bécarde de Lesson,oui,Bécarde de Lesson,
626,Pachyramphus surinamus,Bécarde du Surinam,oui,Bécarde du Surinam,
650,Pachyramphus viridis,Bécarde verte,oui,Bécarde verte,
941,Gallinago delicata,Bécassine de Wilson,oui,Bécassine de Wilson,
849,Gallinago paraguaiae,Bécassine du Paraguay,oui,Bécassine du Paraguay,
624,Gallinago undulata,Bécassine géante,oui,Bécassine géante,
957,Nyctanassa violacea,Bihoreau gris,oui,Bihoreau gris,
806,Zonotrichia capensis,Bruant chingolo,oui,Bruant chingolo,
635,Ammodramus humeralis,Bruant des savanes,oui,Bruant des savanes,
714,Circus buffoni,Busard de Buffon,oui,Busard de Buffon,
513,Leucopternis melanops,Buse à face noire,oui,Buse à face noire,
789,Rupornis magnirostris,Buse à gros bec,oui,Buse à gros bec,
930,Geranoaetus albicaudatus,Buse à queue blanche,oui,Buse à queue blanche,
509,Busarellus nigricollis,Buse à tête blanche,oui,Buse à tête blanche,
907,Pseudastur albicollis,Buse blanche,oui,Buse blanche,
800,Buteogallus aequinoctialis,Buse buson,oui,Buse buson,
667,Buteo nitidus,Buse cendrée,oui,Buse cendrée,
593,Geranospiza caerulescens,Buse échasse,oui,Buse échasse,
820,Buteogallus meridionalis,Buse roussâtre,oui,Buse roussâtre,
637,Buteogallus urubitinga,Buse urubu,oui,Buse urubu,
969,Zebrilus undulatus,Butor zigzag,oui,Butor zigzag,
519,Capito niger,Cabézon tacheté,oui,Cabézon tacheté,
831,Graydidascalus brachyurus,Caïque à queue courte,oui,Caïque à queue courte,
558,Pyrilia caica,Caïque à tête noire,oui,Caïque à tête noire,
516,Pionites melanocephalus,Caïque maïpouri,oui,Caïque maïpouri,
896,Tangara mexicana,Calliste diable-enrhumé,oui,Calliste diable-enrhumé,
556,Stilpnia cayana,Calliste passevert,oui,Calliste passevert,
750,Tangara chilensis,Calliste septicolore,oui,Calliste septicolore,
661,Campylopterus largipennis,Campyloptère à ventre gris,oui,Campyloptère à ventre gris,
783,Ibycter americanus,Caracara à gorge rouge,oui,Caracara à gorge rouge,
960,Milvago chimachima,Caracara à tête jaune,oui,Caracara à tête jaune,
771,Periporphyrus erythromelas,Cardinal érythromèle,oui,Cardinal érythromèle,
959,Caryothraustes canadensis,Cardinal flavert,oui,Cardinal flavert,
583,Micrastur semitorquatus,Carnifex à collier,oui,Carnifex à collier,
701,Micrastur gilvicollis,Carnifex à gorge cendrée,oui,Carnifex à gorge cendrée,
839,Micrastur mirandollei,Carnifex ardoisé,oui,Carnifex ardoisé,
491,Micrastur ruficollis,Carnifex barré,oui,Carnifex barré,
961,Chrysomus icterocephalus,Carouge à capuchon,oui,Carouge à capuchon,
